hotel_nombre,sustainability_score,puntuacion
Alletra Diamond Grand Hotel,51.31,4.31
dHCI Executive Boutique Hotel,51.09,4.08
Cray Villas,51.0,4.26
Aruba Lodge,50.96,3.66
Apollo Diamond Suites,50.87,4.15
Apollo Towers,50.66,3.71
Apollo Executive Beach Resort,50.44,3.58
Ezmeral Grand Hotel,50.41,4.0
Alletra Haven,50.19,4.09
Pointnext Signature Residences & Suites,50.16,3.79
Synergy Golden Grand Hotel,50.15,3.89
ProLiant Haven,50.14,3.88
Apollo Resort & Spa,50.12,4.21
Nimble Inn,50.0,4.38
ProLiant Place,49.76,4.48
Alletra Boutique Hotel,49.69,3.89
ProLiant Towers,49.66,4.09
Alletra Resort,49.63,3.5
dHCI Platinum Beach Resort,49.63,3.68
Simplivity Golden Plaza Hotel,49.31,3.78
GreenLake Digital Business Suites,49.15,3.8
Aruba Luxury Lodge,49.06,4.17
InfoSight Boutique Hotel,49.06,3.74
Primera Grand,48.99,4.05
GreenLake Platinum Heritage Inn,48.94,4.11
